"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","I'm at Downtown Portland - @indowntownpdx in Portland, OR https://t.co/2PNe2yHT4E",FALSE,0,NA,2015-05-10 23:26:26,FALSE,NA,"597543245493710848",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","MissSana2",0,FALSE,FALSE,"-122.67821077","45.51885656"
"2","Cloudy day in PDX! #pdx #portland #sundayfunday @ Joe's Burgers. https://t.co/e2CCaEsbAj",FALSE,0,NA,2015-05-10 23:25:21,FALSE,NA,"597542975145672706",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","jayzugal",0,FALSE,FALSE,"-122.67658163","45.51866556"
"3","I'm at Downtown Portland - @indowntownpdx in Portland, OR https://t.co/BKDWfSMbmr",FALSE,0,NA,2015-05-10 23:17:21,FALSE,NA,"597540961271586817",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","AOmayrah",0,FALSE,FALSE,"-122.67821077","45.51885656"
"4","""Always find time for the things that make you feel happy..."" Ì†ΩÌ≤´#Portland #BlueLotusHenna #HennaArt @‚Ä¶ https://t.co/iXGXsnaBQk",FALSE,0,NA,2015-05-10 23:02:29,FALSE,NA,"597537220749336577",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","ChelseaFarrah",0,FALSE,FALSE,"-122.67067342","45.52252551"
"5","LanguageLine Solutions #CustomerService #Job: Vietnamese Interpreters (#Portland, OR) http://t.co/qq5gGsgx16 #interpreter #bilingual",FALSE,0,NA,2015-05-10 23:00:35,FALSE,NA,"597536739515727874",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","LanguageRecruit",0,FALSE,FALSE,"-122.6762071","45.5234515"
"6","Beautiful #weekend by the #Willamette #River. #travel #Portland #Oregon @ Tom McCall Waterfront Park https://t.co/mPxOyUmFfa",FALSE,0,NA,2015-05-10 22:57:49,FALSE,NA,"597536046050607104",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","hbao",0,FALSE,FALSE,"-122.6726","45.516"
"7","The perfect final dance with the Prom King Ì†ΩÌ±ë @ Portland Art Museum https://t.co/SbdXuTGT0C",FALSE,0,NA,2015-05-10 22:54:51,FALSE,NA,"597535299200233472",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","brigid_k",0,FALSE,FALSE,"-122.683556","45.516247"
"8","Mothers Day! (@ Papa Haydn in Portland, OR) http://t.co/mIRuhAUcOn",FALSE,0,NA,2015-05-10 22:52:37,FALSE,NA,"597534736198799362",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","benjaminpollock",0,FALSE,FALSE,"-122.64964844","45.480344"
"9","West Portland (where stuff is) is kind of shit!",FALSE,0,NA,2015-05-10 22:42:22,FALSE,NA,"597532158006202369",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hviola",0,FALSE,FALSE,"-122.6808878","45.522446"
"10","Travel Pharmacist Job - Portland, OR - Soliant Health: (#PortlandOR, OR) http://t.co/AZEfbUdy93 #Healthcare #Job #Jobs #Hiring",FALSE,0,NA,2015-05-10 22:39:35,FALSE,NA,"597531455246340096",NA,"<a href=""http://tweetmyjobs.com"" rel=""nofollow"">SafeTweet by TweetMyJOBS</a>","Soliant_Pharm",0,FALSE,FALSE,"-122.6762071","45.5234515"
"11","woof (at @HairoftheDog Brewery &amp; Tasting Room in Portland, OR) http://t.co/gXCYxCxhOU",FALSE,1,NA,2015-05-10 22:32:54,FALSE,NA,"597529772848189440",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","silly_starfish",0,FALSE,FALSE,"-122.66571416","45.51592703"
"12","I'm at Hong Kong 97 in Portland, OR https://t.co/91ZEqDGJbo",FALSE,0,NA,2015-05-10 22:26:19,FALSE,NA,"597528118652444672",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","pdxplm",0,FALSE,FALSE,"-122.59958","45.447022"
"13","Applications Sales Representative IV - Oracle: (#Portland, OR) http://t.co/IJAofVfP2x #Sales #Job #Jobs #Hiring",FALSE,0,NA,2015-05-10 22:14:06,FALSE,NA,"597525043514454016",NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>","JobsAtOracle",0,FALSE,FALSE,"-122.6762071","45.5234515"
"14","Last highschool dance with my bff @ Portland Waterfront https://t.co/B12ALAvvJR",FALSE,1,NA,2015-05-10 22:11:56,FALSE,NA,"597524496942239744",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","shannondaly_",0,FALSE,FALSE,"-122.67284106","45.5175795"
